Team,Stadium,Lat,Long,Street,City,State,Zip,Phone,Country,
Arizona Cardinals,State Farm Stadium,34.21440241,-200.2823901,1 Cardinals Dr,Glendale,AZ,85305,(623) 433-7101,USA,
Atlanta Falcons,Mercedes-Benz Stadium,33.75550158,-84.40055832,1 AMB Dr NW,Atlanta,GA,30313,(470) 341-5000,USA,
Carolina Panthers,Bank of America Stadium,36.35376814,-80.67204223,800 S Mint St,Charlotte,NC,28202,(704) 358-7000,USA,
Chicago Bears,Soldier Field,43.28759173,-87.46070513,1410 Special Olympics Dr,Chicago,IL,60605,(312) 235-7000,USA,
Dallas Cowboys,AT&T Stadium,33.91659685,-97.20864343,1 AT&T Way,Arlington,TX,76011,(817) 892-4000,USA,
Detroit Lions,Ford Field,43.59103705,-83.28668337,2000 Brush St,Detroit,MI,48226,(313) 262-2000,USA,
Green Bay Packers,Lambeau Field,45.75461517,-88.0844822,1265 Lombardi Ave,Green Bay,WI,54304,(920) 569-7500,USA,
Los Angeles Rams,SoFi Stadium,34.63863038,-118.765548,1001 Stadium Dr,Inglewood,CA,90301,(212) 450-2000,USA,
Minnesota Vikings,U.S. Bank Stadium,44.97382065,-93.25750523,401 Chicago Ave,Minneapolis,MN ,55415,,USA,
New Orleans Saints,Caesars Superdome,32.17489139,-90.70965316,1500 Sugar Bowl Dr,New Orleans,LA ,70112,,USA,
New York Giants,MetLife Stadium,42.88515957,-74.65058147,1 MetLife Stadium Dr,East Rutherford,NJ,7073,,USA,
Philadelphia Eagles,Lincoln Financial Field,,,,,,,,USA,
San Francisco 49ers,Levi's Stadium,,,,,,,,USA,
Seattle Seahawks,Lumen Field,,,,,,,,USA,
Tampa Bay Buccaneers,Raymond James Stadium,,,,,,,,USA,
Washington Football Team,FedExField,,,,,,,,USA,
Baltimore Ravens,M&T Bank Stadium,,,,,,,,USA,
Buffalo Bills,Bills Stadium,,,,,,,,USA,
Cincinnati Bengals,Paul Brown Stadium,,,,,,,,USA,
Cleveland Browns,First Energy Stadium,,,,,,,,USA,
Denver Broncos,Empower Field at Mile High,,,,,,,,USA,
Houston Texans,NRG Stadium,,,,,,,,USA,
Indianapolis Colts,Lucas Oil Stadium,,,,,,,,USA,
Jacksonville Jaguars,TIAA Bank Field,,,,,,,,USA,
Kansas City Chiefs,Arrowhead Stadium,,,,,,,,USA,
Las Vegas Raiders,Allegiant Stadium,,,,,,,,USA,
Los Angeles Chargers,SoFi Stadium,,,,,,,,USA,
Miami Dolphins,Hard Rock Stadium,,,,,,,,USA,
New England Patriots,Gillette Stadium,,,,,,,,USA,
New York Jets,MetLife Stadium,,,,,,,,USA,
Pittsburgh Steelers,Heinz Field,,,,,,,,USA,
Tennessee Titans,Nissan Stadium,,,,,,,,USA,
